module_path,class,reason,sqlite_tables,uses_w14_ontology,depends_on,migration_priority
sylion/aeis,A,"Self-* AEIS layer (autonomy_controller, evolution_tracker, self_evolution, self_healing_orchestrator, integration_controller, self_limitation, self_observation, self_preservation, self_explanation, evidence_pack, adaptation_engine, explanation_engine, improvement_queue, autonomy_stages) — 14 SQLite-backed modules. Each tracks its OWN internal lifecycle/limit/healing state. Tables are platform-runtime (autonomy_state, evolution_steps, healing_sessions, sylion_rate_events) — not domain payload other modules query. The published Evidence Pack lives in sylion/governance/evidence_spine + sylion/aeis/evidence_pack stays as a writer adapter. Stays as-is; W15 OSDK is consumed FROM here, not OF here.","autonomy_state;autonomy_gate_checks;autonomy_actions;sandbox_executions;sandbox_side_effects;limited_prod_executions;limited_prod_escalations;limited_prod_rate_tracker;evolution_proposals;evolution_steps;evolution_results;evolution_events;adaptations;feedback_signals;adaptation_rules;evidence_packs;evidence_items;sylion_explanation_templates;sylion_explanations;explanations;explanation_validations;sylion_rate_policies;sylion_rate_events;sylion_named_policies;sylion_named_violations;observations;observation_aggregates;preservation_state;health_checks;healing_rules;healing_sessions;improvements;integrations;integration_events;integration_health;integration_stages",false,"sylion/governance;sylion/cognitive;sylion/core/event_bus","P2"
sylion/aeis/advisor,B,"Advisor (W13) — 13 sub-services (engine, funding, history, mobile_gateway, orchestration_config, preferences, pricing, role_resolver, scaling, subscription, variants, actions, events) already on PostgreSQL via dedicated `advisor_layer.sql` schemas (advisor_engine, advisor_funding, advisor_history, advisor_pricing, advisor_preferences, advisor_actions, advisor_outbound, advisor_subscription, advisor_scaling, advisor_orchestration, advisor_evidence, advisor_events). Heavy CRUD on AdvisorCard / Recommendation / FundingMatch / PreferenceKey — perfect OSDK candidates. Already half-way to W15 (PG done, schemas defined).","advisor_engine.recommendations;advisor_engine.llm_judge_audit;advisor_engine.rule_definitions;advisor_engine.rule_firing_history;advisor_history.card_actions;advisor_history.learning_signals;advisor_pricing.providers;advisor_pricing.provider_models;advisor_pricing.pricing_tables;advisor_pricing.pricing_history;advisor_preferences.project_domain_catalog;advisor_preferences.project_type_catalog;advisor_preferences.preference_key_catalog;advisor_preferences.preferences;advisor_preferences.preferences_audit;advisor_actions.action_routes_audit;advisor_subscription.usage_metrics;advisor_subscription.subscription_plans;advisor_subscription.roi_calculations;advisor_subscription.active_subscriptions;advisor_subscription.quota_usage;advisor_scaling.env_inventory;advisor_scaling.topology_history;advisor_funding.companies;advisor_funding.company_persons;advisor_funding.grant_programs;advisor_funding.scoring_components;advisor_funding.scoring_profiles;advisor_funding.scoring_history;advisor_funding.consortium_pool;advisor_funding.research_logs;advisor_evidence.evidence_packs;advisor_evidence.evidence_pack_signatures;advisor_outbound.adapters_config;advisor_outbound.dispatch_rules;advisor_outbound.dispatches;advisor_events.proto_registry;advisor_events.events;advisor_events.validation_failures;advisor_orchestration.config_kv;advisor_orchestration.test_catalog;advisor_orchestration.team_formation_rules;advisor_orchestration.active_teams;advisor_orchestration.llm_judge_routing;advisor_orchestration.council_rules;advisor_orchestration.auditor_cadence;advisor_orchestration.fixer_protocol;advisor_orchestration.dispatch_config;advisor_orchestration.event_map_cache;advisor_orchestration.inter_model_conversations",false,"sylion/cognitive;sylion/governance/council_hybrid;sylion/governance/human_gate;sylion/governance/evidence_spine","P0"
sylion/aeis/testing,B,"W14 Testing — DIRECTLY targeted by §6.3 lift to W15 (25 ontology objects manifested as YAML, SQLite -> PG, 10-step migration with rollback). Every submodule (charter, findings, agent_theater, auto_repair_controller, loop_governor, merge_guard, release_rail, self_audit, simulation/, branches/, personas/, guardians/, demo_projects/, actions/, ontology/, memory.py) imports from `aeis.testing.ontology.objects` and `aeis.testing.ontology.store`. This is THE canonical Class B example.","w14_requirements;w14_test_charters;w14_test_plans;w14_test_suites;w14_test_cases;w14_evaluation_suites;w14_test_runs;w14_regression_runs;w14_findings;w14_patch_proposals;w14_repair_attempts;w14_loop_reports;w14_guardian_alerts;w14_simulation_contracts;w14_simulation_branches;w14_simulation_evidence;w14_human_personas;w14_human_scenarios;w14_human_error_injections;w14_human_decision_traces;w14_human_near_misses;w14_branches;w14_release_candidates;w14_release_decisions;w14_release_readiness_reports;w14_testing_relations;w14_testing_history;w14_lessons;w14_root_causes;w14_flaky_patterns;w14_anti_patterns",true,"sylion/governance/human_gate;sylion/governance/council_hybrid;sylion/governance/evidence_spine;sylion/core/event_bus;sylion/aeis/advisor","P0"
sylion/aeis_v2,C,"Empty placeholder (only __pycache__ subdirs for ontology/apps/deployment/terminal). This IS the v2 namespace into which W15-W18 will land. Currently no code, no manifests, no schemas — formally deprecated as a v1 module (becomes the W15 home).",,false,"","P2"
sylion/api,B,"103 *_routes.py files — almost every router queries domain objects (idea_vault, council, advisor, projects, governance, testing). Routes are thin wrappers over service-layer modules; once W15 generates REST + Python OSDK from manifests, ~70% of these routes become auto-generated. Backbone routes (auth_routes, health_routes, ws_routes, rbac_enforcement, rate_limit, router.py, app.py) stay; entity CRUD routes (idea_routes, projects_routes, council_routes, advisor_routes, testing_routes, etc.) refactor to use OSDK or get auto-generated.",,true,"sylion/cognitive/idea_vault;sylion/governance/council_hybrid;sylion/aeis/advisor;sylion/aeis/testing;sylion/project_mode;sylion/funding_autopilot","P0"
sylion/autonomy,A,"Single-file module (stage_machine.py) holding 2 SQLite tables (autonomy_phase_state, autonomy_transitions). Internal state machine for autonomy phase transitions — used only by sylion/aeis. Not a domain object exposed to other layers. Stays.","autonomy_phase_state;autonomy_transitions",false,"sylion/aeis;sylion/governance","P2"
sylion/cellular,A,"7-file lab toolkit (attack_vectors, control_plane, core_network, evidence_writer, ran_lab, rf_isolation, ue_emulator) — each owns one tiny SQLite table for cellular/RAN test artifacts. Domain (cellular_evidence, ue_devices, attack_vectors) is unrelated to AEIS ontology and won't be queried via OSDK by other layers. Pure standalone test-rig domain — leave it as-is.","ue_devices;isolation_checks;core_networks;attack_vectors;cellular_evidence;cp_analyses;ran_stacks",false,"sylion/sdr","P2"
sylion/cognitive,B,"Heart of the cognitive stack — 21 modules with 30+ SQLite tables for first-class domain objects every other layer queries: ideas/idea_attachments/idea_lifecycle_log, chat_sessions/messages/attachments, evaluation_criteria/evaluations/evaluation_results, knowledge_entries/sources/links, feedback_categories/items/responses/ratings, registered_models/agents/runtime, plans/tasks, prompt_templates/versions, llm_calls, hallucination_checks/patterns. idea_vault alone is 973 LOC with 4 tables and is referenced by 55+ files. THE flagship Class B target — once OSDK exists, this is what powers W18 Operator Terminal and most W16 apps.","ideas;idea_tags;idea_votes;idea_lifecycle_log;idea_attachments;chat_sessions;chat_messages;chat_attachments;code_operations;registered_agents;agent_executions;agent_logs;hallucination_checks;hallucination_patterns;knowledge_entries;knowledge_sources;knowledge_links;feedback_categories;feedback_items;feedback_responses;feedback_ratings;reasoning_chains;model_metrics;model_summaries;model_leaderboard;sylion_models;sylion_model_usage;registered_models;model_capabilities;model_performance_snapshots;evaluation_criteria;evaluations;evaluation_results;sylion_evaluations;sylion_evaluation_criteria;llm_calls;prompt_templates;prompt_template_versions;plans;tasks",false,"sylion/governance;sylion/aeis/advisor;sylion/memory","P0"
sylion/cognitive/council,A,"Single voting.py + __init__.py — pure algorithmic helpers (Borda/weighted vote math). No tables, no router, no ontology dependency. Stays as a math util.",,false,"sylion/governance/council_hybrid","P2"
sylion/container,A,"Single docker_manager.py with 4 SQLite tables for container/k8s metadata (docker_containers, docker_images, k8s_pods, k8s_deployments). Infra-domain that overlaps W17 Deployment Plane scope, but the in-process lib stays — W17 will consume it via gRPC. Mark A; revisit at W17 G1.","docker_containers;docker_images;k8s_pods;k8s_deployments",false,"","P2"
sylion/contracts,A,"Schema-registry tooling: dependency_graph, version_tracker, stub_manager, freeze_manager, generate_manifests, generate_stubs, event_validator, compatibility_checker — all build-time/CI. 3 small SQLite tables (sylion_dependencies, sylion_stub_registry, sylion_versions) are local indexes, not domain data. This module IS the meta-layer that W15 will largely replace, but until W15 G2 lands the existing tooling stays.","sylion_dependencies;sylion_stub_registry;sylion_versions",false,"sylion/core/manifest_loader","P2"
sylion/core,A,"21 infrastructure modules: event_bus, event_backbone, nats_event_bus, manifest_loader, module_registry, lifecycle_gates, hot_swap, rollback_manager, version_manager, pipeline_controller, pipeline_config, build_state, code_snapshot, contract_registry, environment_orchestrator, evidence_spine, dependency_mapper, decision_gate_engine, health_monitor, bundle_assembler, auto_register. These are platform plumbing — event bus and registries underpin everything but aren't domain objects. Their tables (sylion_events, sylion_modules, decision_records, evidence_spine, lifecycle_stages) are runtime metadata. Stays unchanged; W15 sits on top of core, not inside it.","sylion_events;sylion_modules;sylion_dependencies;sylion_versions;sylion_environments;sylion_env_switch_log;sylion_env_meta;sylion_heartbeat_log;sylion_health_thresholds;decision_records;gate_definitions;evidence_spine;lifecycle_stages;stage_gates;gate_evaluations;contracts;contract_versions;contract_bindings;bundles;bundle_components;bundle_versions;dependency_edges;dependency_graphs;code_snapshots;snapshot_diffs;pipeline_configs;config_versions;config_validations;pipeline_runs;rollback_contracts;rb_points;rb_operations;rb_op_steps;swap_candidates;swap_operations;swap_results;versions;version_dependencies;version_changelog",false,"","P2"
sylion/db,C,"Migration / pool plumbing: migration.py, pg_migration.py, pg_migration_worker.py, pool.py, advisor_layer.sql, migrations/0001_w14_ontology.py. Once W15 owns the manifest-driven DDL (auto-generates tables from YAML), this hand-written migration scaffolding is the canonical example of duplicated functionality. The pool helpers stay (or move into W15 storage engine), the ad-hoc CREATE TABLE migrations get deleted in favor of W15 manifest-driven DDL.","modules;module_events;evidence_entries;decisions;council_sessions;council_votes;evidence_packs;evidence_artefacts;contracts;agents;skills;runs;audit_log;sylion_migrations;w14_*",true,"sylion/aeis/testing;sylion/governance;sylion/cognitive","P0"
sylion/demo/factory_automation_panel,B,"Demo app for Factory Automation — 5 tables (factory_cabinets, factory_iomaps, factory_estops, factory_uploads, factory_interlocks) + own router + service. EXACTLY the kind of operational app W16 Apps Builder is meant to define declaratively from a manifest. Refactor target post-W16 G2.","factory_cabinets;factory_iomaps;factory_estops;factory_uploads;factory_interlocks",false,"sylion/cognitive/idea_vault","P1"
sylion/demo/funding_pipeline_tracker,B,"Demo app — 4 tables (funding_applications, funding_attachments, funding_signatures, funding_submissions). Overlaps with sylion/funding_autopilot (which already owns funding_applications). One of these duplicates either becomes a W16 app or is deprecated.","funding_applications;funding_attachments;funding_signatures;funding_submissions",false,"sylion/funding_autopilot","P1"
sylion/demo/mobile_field_inspector,B,"Demo app — 4 tables (field_inspections, field_photos, field_signatures, field_offline_queue) + offline-capable mobile UX. Strong W16 app candidate (objects + workflow + automation manifest). Imports W14 ontology in __init__ (keeps ontology=true tag).","field_inspections;field_photos;field_signatures;field_offline_queue",true,"sylion/aeis/testing/ontology","P1"
sylion/demo/operator_crm,B,"Demo CRM app — 3 tables (crm_contacts, crm_project_links, crm_audit_log). Trivial W16 ObjectListView + ObjectFormEditor app. Refactor post-W16 G2.","crm_contacts;crm_project_links;crm_audit_log",false,"sylion/cognitive/idea_vault","P1"
sylion/demo/public_project_showcase,B,"Demo portal — 3 tables (portal_projects, portal_comments, portal_submissions). Public-read object app — W16 candidate.","portal_projects;portal_comments;portal_submissions",false,"sylion/cognitive/idea_vault","P1"
sylion/demo/skills_marketplace,B,"Demo marketplace — 4 tables (marketplace_skills, marketplace_dependencies, marketplace_scans, marketplace_reviews). Cross-cuts sylion/skills (which owns skills/executions). Likely W16 manifest app reading from /sylion/skills via OSDK.","marketplace_skills;marketplace_dependencies;marketplace_scans;marketplace_reviews",false,"sylion/skills","P1"
sylion/devices,A,"Hardware lab toolkit (artifact_deployer, device_discovery, device_registry, test_harness) — 4 small tables for device fleet metadata. Domain orthogonal to AEIS ontology; mostly used by W14 hardware-lane testing scenarios. Stays standalone.","device_tests;discovered_devices;devices;deployments",false,"sylion/sdr","P2"
sylion/efficiency,A,"8 self-introspection helpers (circuit_breaker, code_bloat, config_drift, cost_envelope, cost_monitor, memory_footprint, performance_budget, runtime_perf). Each owns 1-2 SQLite tables of telemetry. Pure platform observability — no domain payload. Stays.","sylion_circuits;sylion_config_baselines;sylion_config_drift_events;cost_records;cost_budgets;cost_alerts;module_metrics;bloat_history;memory_snapshots;memory_budgets;performance_budgets;performance_measurements;perf_measurements;slo_definitions",false,"sylion/observability","P2"
sylion/execution,A,"11 modules: adapter_bus, capacity_planner, connector_framework, deployment_orchestrator, execution_planner, job_runner, retry_orchestrator, task_scheduler, tool_registry, tool_runner, workflow_engine. Owns 25+ tables but they are all execution-runtime (jobs, workflows, retries, tools). These tables aren't queried from outside execution layer; they support the orchestrator. Stays unchanged; W15 will not lift workflow internals (decision: §3.3 / §6.2 W15 scope OUT for non-domain plumbing).","adapters;adapter_routes;adapter_logs;resource_usage;capacity_forecasts;connectors;connector_configs;connector_health;execution_plans;plan_steps;plan_dependencies;deployments;deployment_steps;retry_policies;retry_attempts;dead_letter_queue;jobs;sylion_tools;tools;tool_executions;scheduled_tasks;task_executions;task_dependencies;workflows;workflow_runs",false,"sylion/core/event_bus","P2"
sylion/funding_autopilot,B,"14 tables (funding_company_profiles, funding_company_documents, funding_programmes, funding_calls, funding_ideas, funding_projects, funding_matches, funding_partner_candidates, funding_outreach_messages, funding_applications, funding_submission_sessions, funding_approval_events, funding_alerts, funding_audit_events) + own router + service + governance bridge. Pure CRUD domain (FundingProgramme/Call/Idea/Match/Application objects). Top OSDK candidate alongside idea_vault and council. Note duplication with sylion/aeis/advisor/funding (advisor_funding.* tables) — should converge in W15.","funding_company_profiles;funding_company_documents;funding_programmes;funding_calls;funding_ideas;funding_projects;funding_matches;funding_partner_candidates;funding_outreach_messages;funding_applications;funding_submission_sessions;funding_approval_events;funding_alerts;funding_audit_events",false,"sylion/aeis/advisor;sylion/governance/human_gate;sylion/cognitive/idea_vault","P0"
sylion/governance,B,"30 modules covering Decision Gates, Human Gate, Council Hybrid, Compliance, Conflict Resolution, Evidence Spine, Policy Engine, Roles, Tickets, Rollback, Risk Scorer, Cascade Analyzer, Change Proposal/Merger. council_hybrid alone is 1123 LOC with 6 tables. These ARE the domain objects (CouncilSession, ParticipantVote, HumanGateRequest, Ticket, Policy, Risk Score) that W14 ontology cross-links to and W15 must expose via OSDK. Council/HG already have W14 wiring (council_session_id, hg_ticket_id on ReleaseDecision). Top P0 along with cognitive and aeis/testing.","cascade_analyses;cascade_paths;merge_requests;merge_conflicts;merge_resolutions;decision_proposals;decision_snapshots;snapshot_factors;cascade_events;sylion_decision_gates;sylion_gate_evaluations;sylion_approval_requests;sylion_approval_votes;compliance_rules;compliance_checks;compliance_reports;spine_entries;evidence_packs;evidence_packs_v2;evidence_artefacts_v2;timelines;timeline_events;governance_gates;gate_evaluations;decision_boundaries;boundary_evaluations;human_gate_requests;human_gate_reviews;hg_sessions;hg_decision_nodes;compliance_policies;sylion_policies;sylion_policy_history;decision_audit_log;policies;policy_applications;change_proposals;proposal_reviews;policy_evaluations;policy_exceptions;hybrid_council_sessions;model_analyses;discussion_rounds;council_participants;council_critic_signatures;council_sentinel_evaluations;roles;role_permissions;role_assignments;agents;rollback_points;rollback_operations;council_sessions;council_votes;risk_scores;risk_thresholds;governance_tickets;governance_ticket_events;decision_conflicts;conflict_records;conflict_rules;explanation_templates;explanation_validations",false,"sylion/cognitive;sylion/core/event_bus;sylion/aeis/testing","P0"
sylion/grpc,A,"6 gRPC server entrypoints (aeis_server, cognitive_server, core_server, eventbus_server, execution_server, governance_server). Pure transport adapters. Replaced/extended by W15 OSDK gRPC, but until then stays.",,false,"sylion/grpc_stubs","P2"
